total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
6256,157,32,-1.5788156868480065,4.663056373596191,False,2025-10-25 19:02:49,0,0.0,0.06320776045322418,0.93751255
6292,158,36,-1.6531867567737564,7.019043445587158,False,2025-10-25 19:02:57,0,0.0,0.035972706973552704,0.93715291
6322,159,30,-0.905472101683702,4.353583335876465,False,2025-10-25 19:03:02,0,0.0,0.04683159291744232,0.93685321
6351,160,29,-1.147161486508576,4.626052618026733,False,2025-10-25 19:03:08,0,0.0,0.025731641799211502,0.9365635
6489,161,138,-1.2258367356245157,57.736711502075195,False,2025-10-25 19:04:06,0,0.0,0.10213371366262436,0.93518488
6528,162,39,-1.171832301397424,8.291863679885864,False,2025-10-25 19:04:16,0,0.0,0.05409723520278931,0.93479527
6555,163,27,-1.3657227068353288,4.751610517501831,False,2025-10-25 19:04:22,0,0.0,0.03060142509639263,0.93452554
6585,164,30,-1.2459139714080376,6.026460886001587,False,2025-10-25 19:04:29,0,0.0,0.022866886109113693,0.93422584
6620,165,35,-1.3526354572056234,6.58790135383606,False,2025-10-25 19:04:36,0,0.0,0.02137931063771248,0.93387619
6675,166,55,-1.2585773304593708,11.231378078460693,False,2025-10-25 19:04:49,0,0.0,0.039639849215745926,0.93332674
6712,167,37,-0.7842663932063225,6.758289813995361,False,2025-10-25 19:04:57,0,0.0,0.02068578638136387,0.93295711
6760,168,48,-1.138751121401096,8.315403699874878,False,2025-10-25 19:05:07,0,0.0,0.022380772978067398,0.93247759
6786,169,26,-1.5480167819784205,4.745955467224121,False,2025-10-25 19:05:13,0,0.0,0.0300909373909235,0.93221785
6816,170,30,-1.2229367016207369,5.060091733932495,False,2025-10-25 19:05:19,0,0.0,0.028278173878788948,0.93191815
6849,171,33,-1.6848977630810316,5.762458086013794,False,2025-10-25 19:05:27,0,0.0,0.022954048588871956,0.93158848
6877,172,28,-1.0093120550147978,3.311643600463867,False,2025-10-25 19:05:31,0,0.0,0.02268258109688759,0.93130876
6928,173,51,-1.069854827785586,10.179681539535522,False,2025-10-25 19:05:43,0,0.0,0.02089528739452362,0.93079927
6977,174,49,1.3176998316410207,10.674559831619263,True,2025-10-25 19:05:55,0,0.0,0.0311446450650692,0.93030976
6996,175,19,-1.6784039087947882,3.2887518405914307,False,2025-10-25 19:05:59,0,0.0,0.02712230570614338,0.93011995
7037,176,41,-1.3148548032702898,101.58104157447815,False,2025-10-25 19:07:42,0,0.0,0.019688136875629425,0.92971036
